Cód,Materia,Primer llamado,Hora,Segundo llamado,Hora
23.18,Electrónica e Instrumentación,"lunes, 13 de julio de 2026",16:00,"lunes, 20 de julio de 2026",16:00
25.01,Fundamentos de Electrónica,"martes, 7 de julio de 2026",8:00,"martes, 14 de julio de 2026",8:00
25.02,Programación I,"lunes, 6 de julio de 2026",11:00,"miércoles, 22 de julio de 2026",11:00
25.03,Algoritmos y Estructuras de Datos,"viernes, 3 de julio de 2026",17:00,"viernes, 17 de julio de 2026",17:00
25.04,Computación Cuántica,"martes, 7 de julio de 2026",15:00,"martes, 14 de julio de 2026",15:00
25.10,Teoría de Circuitos 1,"viernes, 10 de julio de 2026",8:00,"viernes, 17 de julio de 2026",8:00
25.12,Tecnología de Materiales Electrónicos,"viernes, 10 de julio de 2026",10:00,"viernes, 24 de julio de 2026",10:00
25.13,Laboratorio de Electrónica 1,"viernes, 10 de julio de 2026",18:00,"viernes, 17 de julio de 2026",18:00
25.14,Teoría de Circuitos 2,"martes, 7 de julio de 2026",12:00,"martes, 21 de julio de 2026",12:00
25.15,Electrónica I,"viernes, 10 de julio de 2026",15:00,"viernes, 17 de julio de 2026",15:00
25.16,Laboratorio de Electrónica 2,"martes, 14 de julio de 2026",15:00,"martes, 21 de julio de 2026",15:00
25.17,Electrónica II,"lunes, 13 de julio de 2026",18:00,"viernes, 24 de julio de 2026",18:00
25.18,Física Electrónica,"lunes, 13 de julio de 2026",19:00,"lunes, 20 de julio de 2026",19:00
25.20,Análisis de Señales y Sistemas Digitales,"miércoles, 8 de julio de 2026",14:00,"miércoles, 22 de julio de 2026",14:00
25.21,Electrónica III,"martes, 7 de julio de 2026",19:00,"martes, 21 de julio de 2026",19:00
25.22,Electromagnetismo,"jueves, 16 de julio de 2026",16:00,"jueves, 23 de julio de 2026",16:00
25.23,Sistemas de control,"lunes, 20 de julio de 2026",17:00,"lunes, 27 de julio de 2026",17:00
25.24,Laboratorio de Electrónica 3,"lunes, 13 de julio de 2026",9:00,"lunes, 20 de julio de 2026",9:00
25.26,Transmisión de la Información,"martes, 14 de julio de 2026",19:00,"martes, 21 de julio de 2026",19:00
25.27,Sistemas Embebidos,"lunes, 13 de julio de 2026",14:00,"lunes, 20 de julio de 2026",14:00
25.28,Electrónica IV,"viernes, 10 de julio de 2026",15:00,"viernes, 24 de julio de 2026",15:00
25.30,Electrónica V,"jueves, 16 de julio de 2026",15:00,"jueves, 23 de julio de 2026",15:00
25.31,Proyectos Electrónicos,"jueves, 16 de julio de 2026",19:00,"jueves, 23 de julio de 2026",19:00
25.53,Señales Aleatorias,"jueves, 16 de julio de 2026",15:00,"jueves, 23 de julio de 2026",15:00
25.55,Microelectrónica,"miércoles, 15 de julio de 2026",19:00,"miércoles, 22 de julio de 2026",19:00
